state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Alabama,7500,7500,1700,23,2100,90,1
Arizona,30000,30000,4700,16,3500,150,1
Arkansas,27000,27000,5000,19,5000,1100,4
California,1130000,1410000,200000,14,210000,139000,10
Colorado,5000,8500,750,9,1700,10,-
Connecticut,2700,2700,270,10,70,10,-
Florida,275000,295000,40000,14,49000,15500,5
Georgia,100000,100000,15500,16,36000,3200,3
Hawaii,15000,15000,280,2,570,530,4
Idaho,91000,98000,8500,9,5500,3300,3
Illinois,8500,9500,1400,15,860,40,-
Indiana,6500,6500,770,12,30,-,-
Iowa,13000,13000,2900,22,90,-,-
Kansas,5000,5000,1100,22,1400,100,2
Kentucky,6500,6500,1300,20,390,40,1
Louisiana,54000,55000,11000,20,9500,2600,5
Maine,2200,3700,170,5,-,-,-
Maryland,7500,7500,820,11,1200,10,-
Massachusetts,3000,3000,370,12,1200,140,5
Michigan,25000,42000,5000,12,2300,80,-
Minnesota,36000,38000,5500,14,6000,-,-
Mississippi,21000,50000,7500,15,48000,25000,50
Missouri,10000,10000,1300,13,5500,420,4
Montana,16500,65000,900,1,24000,-,-
Nebraska,11000,20000,720,4,510,-,-
New Jersey,6000,6000,1000,17,80,20,-
New Mexico,6000,6500,1700,26,1400,30,1
New York,31000,33000,4200,13,970,600,2
North Carolina,18500,24000,2600,11,1100,230,1
North Dakota,89000,137000,8500,6,4600,-,-
Ohio,16500,16500,2900,18,760,50,-
Oklahoma,13500,13500,3300,24,4800,570,4
Oregon,68000,92000,2900,3,3800,1300,1
Pennsylvania,12500,12500,2900,23,480,170,1
South Carolina,16500,16500,3500,21,3200,380,2
South Dakota,47000,79000,10500,13,1600,-,-
Tennessee,9000,9000,1700,19,180,70,1
Texas,240000,320000,30000,9,126000,49000,15
Utah,12000,14500,1900,13,1400,50,-
Vermont,5500,5500,410,7,-,-,-
Virginia,6500,6500,1100,17,560,70,1
Washington,77000,146000,13500,9,5500,1200,1
West Virginia,6500,8000,1700,21,-,-,-
Wisconsin,20000,21000,3100,15,530,-,-
Wyoming,2700,6500,340,5,440,-,-
Alabama,8000,8000,930,12,1200,690,9
Arizona,22000,23000,3700,16,14000,1600,7
Arkansas,24000,24000,3400,14,12000,1600,7
California,1110000,1150000,108000,9,240000,185000,16
Colorado,9500,29000,1800,6,9000,680,2
Connecticut,2500,2500,100,4,390,60,2
Florida,240000,240000,29000,12,43000,21000,9
Georgia,108000,111000,11000,10,17500,3600,3
Hawaii,13500,13500,830,6,870,-,-
